type,file,chnl,tbeg,tdur,ortho,stype,name,conf,tend,audio_file,max_duration,n_speaker,balanced
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1362,16,<NA>,<NA>,Burger,<NA>,1378,ded21_audio_1,40,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,77,30,<NA>,<NA>,Hoekstra,<NA>,107,ded21_audio_0,60,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,109,33,<NA>,<NA>,Kaag,<NA>,142,ded21_audio_0,60,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,77,30,<NA>,<NA>,Hoekstra,<NA>,107,ded21_audio_0,120,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,381,44,<NA>,<NA>,Hoekstra,<NA>,425,ded21_audio_0,120,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,634,4,<NA>,<NA>,Hoekstra,<NA>,638,ded21_audio_0,120,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,757,4,<NA>,<NA>,Hoekstra,<NA>,761,ded21_audio_0,120,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,177,28,<NA>,<NA>,Klaver,<NA>,205,ded21_audio_0,120,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,41,32,<NA>,<NA>,Marijnissen,<NA>,73,ded21_audio_0,180,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,426,61,<NA>,<NA>,Marijnissen,<NA>,487,ded21_audio_0,180,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,915,43,<NA>,<NA>,Marijnissen,<NA>,958,ded21_audio_0,180,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1362,16,<NA>,<NA>,Burger,<NA>,1378,ded21_audio_1,180,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1390,18,<NA>,<NA>,Burger,<NA>,1408,ded21_audio_1,180,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1419,8,<NA>,<NA>,Burger,<NA>,1427,ded21_audio_1,180,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1467,14,<NA>,<NA>,Burger,<NA>,1481,ded21_audio_1,180,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1510,12,<NA>,<NA>,Burger,<NA>,1522,ded21_audio_1,180,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1567,27,<NA>,<NA>,Burger,<NA>,1594,ded21_audio_1,180,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,177,28,<NA>,<NA>,Klaver,<NA>,205,ded21_audio_0,300,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,491,79,<NA>,<NA>,Klaver,<NA>,570,ded21_audio_0,300,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,1068,29,<NA>,<NA>,Klaver,<NA>,1097,ded21_audio_0,300,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,1389,57,<NA>,<NA>,Klaver,<NA>,1446,ded21_audio_0,300,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,1690,29,<NA>,<NA>,Klaver,<NA>,1719,ded21_audio_0,300,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,312,44,<NA>,<NA>,Klaver,<NA>,356,ded21_audio_1,300,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,143,32,<NA>,<NA>,Rutte,<NA>,175,ded21_audio_0,300,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,253,75,<NA>,<NA>,Rutte,<NA>,328,ded21_audio_0,300,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,963,37,<NA>,<NA>,Rutte,<NA>,1000,ded21_audio_0,300,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,109,33,<NA>,<NA>,Kaag,<NA>,142,ded21_audio_0,480,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,206,43,<NA>,<NA>,Kaag,<NA>,249,ded21_audio_0,480,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,597,35,<NA>,<NA>,Kaag,<NA>,632,ded21_audio_0,480,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,639,62,<NA>,<NA>,Kaag,<NA>,701,ded21_audio_0,480,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,705,11,<NA>,<NA>,Kaag,<NA>,716,ded21_audio_0,480,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,718,2,<NA>,<NA>,Kaag,<NA>,720,ded21_audio_0,480,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,724,31,<NA>,<NA>,Kaag,<NA>,755,ded21_audio_0,480,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,1002,35,<NA>,<NA>,Kaag,<NA>,1037,ded21_audio_0,480,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,1231,59,<NA>,<NA>,Kaag,<NA>,1290,ded21_audio_0,480,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,44,28,<NA>,<NA>,Kaag,<NA>,72,ded21_audio_1,480,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,413,39,<NA>,<NA>,Kaag,<NA>,452,ded21_audio_1,480,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,819,14,<NA>,<NA>,Kaag,<NA>,833,ded21_audio_1,480,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1183,43,<NA>,<NA>,Kaag,<NA>,1226,ded21_audio_1,480,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1850,39,<NA>,<NA>,Kaag,<NA>,1889,ded21_audio_1,480,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,41,32,<NA>,<NA>,Marijnissen,<NA>,73,ded21_audio_0,480,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,426,61,<NA>,<NA>,Marijnissen,<NA>,487,ded21_audio_0,480,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,915,43,<NA>,<NA>,Marijnissen,<NA>,958,ded21_audio_0,480,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,1448,55,<NA>,<NA>,Marijnissen,<NA>,1503,ded21_audio_0,480,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,107,35,<NA>,<NA>,Marijnissen,<NA>,142,ded21_audio_1,480,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,109,33,<NA>,<NA>,Kaag,<NA>,142,ded21_audio_0,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,206,43,<NA>,<NA>,Kaag,<NA>,249,ded21_audio_0,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,597,35,<NA>,<NA>,Kaag,<NA>,632,ded21_audio_0,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,639,62,<NA>,<NA>,Kaag,<NA>,701,ded21_audio_0,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,705,11,<NA>,<NA>,Kaag,<NA>,716,ded21_audio_0,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,718,2,<NA>,<NA>,Kaag,<NA>,720,ded21_audio_0,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,724,31,<NA>,<NA>,Kaag,<NA>,755,ded21_audio_0,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,1002,35,<NA>,<NA>,Kaag,<NA>,1037,ded21_audio_0,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,1231,59,<NA>,<NA>,Kaag,<NA>,1290,ded21_audio_0,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,44,28,<NA>,<NA>,Kaag,<NA>,72,ded21_audio_1,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,413,39,<NA>,<NA>,Kaag,<NA>,452,ded21_audio_1,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,819,14,<NA>,<NA>,Kaag,<NA>,833,ded21_audio_1,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1183,43,<NA>,<NA>,Kaag,<NA>,1226,ded21_audio_1,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1850,39,<NA>,<NA>,Kaag,<NA>,1889,ded21_audio_1,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,2074,62,<NA>,<NA>,Kaag,<NA>,2136,ded21_audio_1,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,2460,23,<NA>,<NA>,Kaag,<NA>,2483,ded21_audio_1,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,41,32,<NA>,<NA>,Marijnissen,<NA>,73,ded21_audio_0,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,426,61,<NA>,<NA>,Marijnissen,<NA>,487,ded21_audio_0,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,915,43,<NA>,<NA>,Marijnissen,<NA>,958,ded21_audio_0,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,1448,55,<NA>,<NA>,Marijnissen,<NA>,1503,ded21_audio_0,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,107,35,<NA>,<NA>,Marijnissen,<NA>,142,ded21_audio_1,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,203,42,<NA>,<NA>,Marijnissen,<NA>,245,ded21_audio_1,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,872,38,<NA>,<NA>,Marijnissen,<NA>,910,ded21_audio_1,600,2,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,109,33,<NA>,<NA>,Kaag,<NA>,142,ded21_audio_0,40,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,177,28,<NA>,<NA>,Klaver,<NA>,205,ded21_audio_0,40,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1362,16,<NA>,<NA>,Burger,<NA>,1378,ded21_audio_1,40,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,77,30,<NA>,<NA>,Hoekstra,<NA>,107,ded21_audio_0,60,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,109,33,<NA>,<NA>,Kaag,<NA>,142,ded21_audio_0,60,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,143,32,<NA>,<NA>,Rutte,<NA>,175,ded21_audio_0,60,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,77,30,<NA>,<NA>,Hoekstra,<NA>,107,ded21_audio_0,120,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,381,44,<NA>,<NA>,Hoekstra,<NA>,425,ded21_audio_0,120,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,634,4,<NA>,<NA>,Hoekstra,<NA>,638,ded21_audio_0,120,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,757,4,<NA>,<NA>,Hoekstra,<NA>,761,ded21_audio_0,120,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,41,32,<NA>,<NA>,Marijnissen,<NA>,73,ded21_audio_0,120,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1362,16,<NA>,<NA>,Burger,<NA>,1378,ded21_audio_1,120,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1390,18,<NA>,<NA>,Burger,<NA>,1408,ded21_audio_1,120,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,109,33,<NA>,<NA>,Kaag,<NA>,142,ded21_audio_0,180,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,206,43,<NA>,<NA>,Kaag,<NA>,249,ded21_audio_0,180,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,597,35,<NA>,<NA>,Kaag,<NA>,632,ded21_audio_0,180,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,639,62,<NA>,<NA>,Kaag,<NA>,701,ded21_audio_0,180,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,177,28,<NA>,<NA>,Klaver,<NA>,205,ded21_audio_0,180,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,41,32,<NA>,<NA>,Marijnissen,<NA>,73,ded21_audio_0,180,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,109,33,<NA>,<NA>,Kaag,<NA>,142,ded21_audio_0,300,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,206,43,<NA>,<NA>,Kaag,<NA>,249,ded21_audio_0,300,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,597,35,<NA>,<NA>,Kaag,<NA>,632,ded21_audio_0,300,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,639,62,<NA>,<NA>,Kaag,<NA>,701,ded21_audio_0,300,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,705,11,<NA>,<NA>,Kaag,<NA>,716,ded21_audio_0,300,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,718,2,<NA>,<NA>,Kaag,<NA>,720,ded21_audio_0,300,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,724,31,<NA>,<NA>,Kaag,<NA>,755,ded21_audio_0,300,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,1002,35,<NA>,<NA>,Kaag,<NA>,1037,ded21_audio_0,300,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,41,32,<NA>,<NA>,Marijnissen,<NA>,73,ded21_audio_0,300,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,426,61,<NA>,<NA>,Marijnissen,<NA>,487,ded21_audio_0,300,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,915,43,<NA>,<NA>,Marijnissen,<NA>,958,ded21_audio_0,300,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,2,34,<NA>,<NA>,Wilders,<NA>,36,ded21_audio_0,300,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,329,48,<NA>,<NA>,Wilders,<NA>,377,ded21_audio_0,300,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,109,33,<NA>,<NA>,Kaag,<NA>,142,ded21_audio_0,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,206,43,<NA>,<NA>,Kaag,<NA>,249,ded21_audio_0,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,597,35,<NA>,<NA>,Kaag,<NA>,632,ded21_audio_0,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,639,62,<NA>,<NA>,Kaag,<NA>,701,ded21_audio_0,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,705,11,<NA>,<NA>,Kaag,<NA>,716,ded21_audio_0,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,718,2,<NA>,<NA>,Kaag,<NA>,720,ded21_audio_0,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,724,31,<NA>,<NA>,Kaag,<NA>,755,ded21_audio_0,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,1002,35,<NA>,<NA>,Kaag,<NA>,1037,ded21_audio_0,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,1231,59,<NA>,<NA>,Kaag,<NA>,1290,ded21_audio_0,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,44,28,<NA>,<NA>,Kaag,<NA>,72,ded21_audio_1,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,413,39,<NA>,<NA>,Kaag,<NA>,452,ded21_audio_1,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,819,14,<NA>,<NA>,Kaag,<NA>,833,ded21_audio_1,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1183,43,<NA>,<NA>,Kaag,<NA>,1226,ded21_audio_1,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1850,39,<NA>,<NA>,Kaag,<NA>,1889,ded21_audio_1,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,2,34,<NA>,<NA>,Wilders,<NA>,36,ded21_audio_0,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,329,48,<NA>,<NA>,Wilders,<NA>,377,ded21_audio_0,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,574,19,<NA>,<NA>,Wilders,<NA>,593,ded21_audio_0,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,1040,27,<NA>,<NA>,Wilders,<NA>,1067,ded21_audio_0,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,1187,41,<NA>,<NA>,Wilders,<NA>,1228,ded21_audio_0,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,1295,49,<NA>,<NA>,Wilders,<NA>,1344,ded21_audio_0,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,5,35,<NA>,<NA>,Wilders,<NA>,40,ded21_audio_1,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1362,16,<NA>,<NA>,Burger,<NA>,1378,ded21_audio_1,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1390,18,<NA>,<NA>,Burger,<NA>,1408,ded21_audio_1,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1419,8,<NA>,<NA>,Burger,<NA>,1427,ded21_audio_1,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1467,14,<NA>,<NA>,Burger,<NA>,1481,ded21_audio_1,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1510,12,<NA>,<NA>,Burger,<NA>,1522,ded21_audio_1,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1567,27,<NA>,<NA>,Burger,<NA>,1594,ded21_audio_1,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1659,26,<NA>,<NA>,Burger,<NA>,1685,ded21_audio_1,480,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,177,28,<NA>,<NA>,Klaver,<NA>,205,ded21_audio_0,600,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,491,79,<NA>,<NA>,Klaver,<NA>,570,ded21_audio_0,600,3,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,1068,29,<NA>,<NA>,Klaver,<NA>,1097,ded21_audio_0,600,3,FALSE
